,title,audience_score,num_audience_ratings
0,On the Waterfront (1954) -,95,51664
1,Baby Driver (2017) -,89,48114
2,The Babadook (2014) -,72,37024
3,The 39 Steps (1935) -,86,23647
4,Spotlight (2015) -,93,68142
5,Taxi Driver (1976) -,93,258405
6,The Last Picture Show (1971) -,90,13893
7,The Battle of Algiers (La Battaglia di Algeri) (1967) -,95,14267
8,Toy Story (1995) -,92,1107731
9,Alien (1979) -,94,457186
10,Rear Window (1954) -,95,149458
11,Mad Max: Fury Road (2015) -,86,123937
12,The Grapes of Wrath (1940) -,88,23954
13,Moonlight (2016) -,80,41956
14,The Godfather (1972) -,98,730433
15,La Grande illusion (Grand Illusion) (1938) -,92,11490
16,The Wizard of Oz (1939) -,89,874425
17,Touch of Evil (1958) -,92,30867
18,Rebecca (1940) -,92,39026
19,Citizen Kane (1941) -,90,157274
20,The Bride of Frankenstein (1935) -,87,24471
21,A Hard Day's Night (1964) -,89,50067
22,Vertigo (1958) -,93,101454
23,The Adventures of Robin Hood (1938) -,89,33584
24,The 400 Blows (Les Quatre cents coups) (1959) -,94,38368
25,The Wages of Fear (1953) -,95,8536
26,The Big Sick (2017) -,90,23391
27,Singin' in the Rain (1952) -,95,137643
28,It Happened One Night (1934) -,93,33106
29,Up (2009) -,90,1201878
30,Metropolis (1927) -,92,62018
31,Get Out (2017) -,87,63837
32,Apocalypse Now (1979) -,94,284606
33,Harry Potter and the Deathly Hallows - Part 2 (2011) -,89,389431
34,The Maltese Falcon (1941) -,91,57268
35,Psycho (1960) -,94,238259
36,M (1931) -,95,35778
37,High Noon (1952) -,89,25065
38,Boyhood (2014) -,81,88478
39,Jaws (1975) -,90,942217
40,Brooklyn (2015) -,87,45763
41,Star Trek (2009) -,91,746458
42,The Third Man (1949) -,93,53081
43,E.T. The Extra-Terrestrial (1982) -,72,32313030
44,Repulsion (1965) -,87,18655
45,Bicycle Thieves (Ladri di biciclette) (1949) -,94,33723
46,Manchester by the Sea (2016) -,77,48189
47,Sunset Boulevard (1950) -,95,52783
48,Seven Samurai (Shichinin no Samurai) (1956) -,97,90049
49,La La Land (2016) -,82,67325
50,Toy Story 3 (2010) -,89,605098
51,Logan (2017) -,91,86540
52,All Quiet on the Western Front (1930) -,89,17768
53,Finding Nemo (2003) -,86,33355673
54,12 Angry Men (Twelve Angry Men) (1957) -,97,103672
55,Star Wars: Episode VII - The Force Awakens (2015) -,89,222789
56,Rashômon (1951) -,93,47657
57,North by Northwest (1959) -,94,78793
58,The Wrestler (2008) -,88,139795
59,Gravity (2013) -,80,301261
60,Inside Out (2015) -,89,133558
61,Casablanca (1942) -,95,355952
62,"The Godfather, Part II (1974) -",97,409574
63,The Dark Knight (2008) -,94,1827436
64,The Treasure of the Sierra Madre (1948) -,93,25627
65,Dunkirk (2017) -,82,53555
66,"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire) (1922) -",87,47463
67,Toy Story 2 (1999) -,86,998186
68,Laura (1944) -,91,10481
69,Snow White and the Seven Dwarfs (1937) -,78,469510
70,Selma (2015) -,86,60533
71,Tokyo Story (Tôkyô monogatari) (1953) -,93,11325
72,Modern Times (1936) -,95,39736
73,The Jungle Book (2016) -,86,92856
74,L.A. Confidential (1997) -,94,149772
75,Arrival (2016) -,82,78740
76,The Night of the Hunter (1955) -,90,24322
77,Pinocchio (1940) -,72,278682
78,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) (1920) -,89,27163
79,12 Years a Slave (2013) -,90,138789
80,The Philadelphia Story (1940) -,93,46810
81,Zootopia (2016) -,92,98633
82,A Streetcar Named Desire (1951) -,90,54761
83,The Conformist (1970) -,91,8529
84,Army of Shadows (L'Armée des ombres) (1969) -,94,7011
85,All About Eve (1950) -,94,44564
86,Gone With the Wind (1939) -,93,292794
87,Roman Holiday (1953) -,94,62895
88,Man on Wire (2008) -,87,29827
89,Hell or High Water (2016) -,88,37738
90,Argo (2012) -,90,207373
91,Rosemary's Baby (1968) -,87,72669
92,Battleship Potemkin (1925) -,85,18709
93,Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb (1964) -,94,208215
94,Wonder Woman (2017) -,90,112955
95,Frankenstein (1931) -,87,41140
96,Open City (1946) -,92,6128
97,"The Good, the Bad and the Ugly (1966) -",97,238420
98,Skyfall (2012) -,86,372497
99,King Kong (1933) -,86,89669
